Date,시가,고가,저가,종가,거래량,외국인소진율,계약금액,최근매출액,매출액대비(%),시작일,종료일
20191111,6280,6330,6200,6250,45218,3.86,0.0,0.0,0.0,0,0
20191112,6210,6330,6210,6260,32551,3.84,0.0,0.0,0.0,0,0
20191113,6990,7100,6500,6820,1704933,2.64,0.0,0.0,0.0,0,0
20191114,6780,6930,6550,6830,343889,2.81,0.0,0.0,0.0,0,0
20191115,6860,7220,6730,7170,774900,2.83,0.0,0.0,0.0,0,0
20191118,7300,7550,7210,7270,553104,2.78,0.0,0.0,0.0,0,0
20191119,7140,7220,6930,7130,240298,3.06,0.0,0.0,0.0,0,0
20191120,7130,7210,6880,7080,191716,3.26,0.0,0.0,0.0,0,0
20191121,7000,7200,6870,6990,130130,3.28,0.0,0.0,0.0,0,0
20191122,6800,7030,6700,6730,186696,3.48,0.0,0.0,0.0,0,0
20191125,6900,7330,6860,7270,326326,3.78,0.0,0.0,0.0,0,0
20191126,7100,7390,7100,7390,167777,3.8,0.0,0.0,0.0,0,0
20191127,7390,7400,7160,7200,141805,3.45,0.0,0.0,0.0,0,0
20191128,7190,7300,6950,7000,101756,3.44,0.0,0.0,0.0,0,0
20191129,7370,7750,7250,7510,919664,3.01,0.0,0.0,0.0,0,0
20191202,7410,7540,7200,7240,347172,2.78,0.0,0.0,0.0,0,0
20191203,7320,7370,7000,7270,292944,2.69,0.0,0.0,0.0,0,0
20191204,7080,7190,7010,7080,191349,2.58,0.0,0.0,0.0,0,0
20191205,7180,8330,6620,6740,7549547,1.65,0.0,0.0,0.0,0,0
20191206,6920,7210,6780,7060,1319528,1.14,0.0,0.0,0.0,0,0
20191209,7030,7090,6780,6810,423074,1.13,0.0,0.0,0.0,0,0
20191210,6810,6830,6660,6740,234762,1.1,0.0,0.0,0.0,0,0
20191211,6700,6850,6690,6810,153226,1.21,0.0,0.0,0.0,0,0
20191212,6780,7020,6780,6950,256932,1.63,0.0,0.0,0.0,0,0
20191213,6970,6990,6820,6970,155364,1.66,0.0,0.0,0.0,0,0
20191216,7010,7100,6910,6930,260520,1.44,0.0,0.0,0.0,0,0
20191217,6990,7040,6680,6710,282840,1.59,0.0,0.0,0.0,0,0
20191218,6710,6780,6570,6780,222458,1.77,0.0,0.0,0.0,0,0
